Image_Name,Real_or_AI,Reasoning
Radio001.png,AI,"This radiograph appears to be AI-generated. The image shows an unusually high level of uniform grain/noise, a subtly unnatural texture in soft tissues, and a lack of anatomical sharpness—particularly around the cardiac silhouette and lung markings—that suggests it was synthesized rather than acquired from a real patient."
Radio002.png,AI,"This radiograph appears to be AI-generated. The bones are overly smooth with uniformly sharp cortical outlines, and the soft tissue contours are unnaturally clean and consistent, lacking the subtle anatomical variation and background noise typically seen in authentic hand X-rays."
Radio003.png,AI,This image shows signs of being AI-generated due to the unnatural smoothness and overly uniform bone textures—especially along the humeral head and glenoid cavity—which lack the subtle anatomical variations and trabecular details typically seen in real radiographs. 
Radio004.png,AI,"This radiograph appears to be AI-generated. It displays excessive grain, unnaturally uniform soft tissue shading, and slightly distorted joint contours—particularly at the acromioclavicular and glenohumeral joints—suggesting synthetic creation rather than acquisition from a real patient."
Radio005.png,AI,"This radiograph appears to be AI-generated. The cervical vertebrae are overly uniform and symmetric, the bone edges are too smooth, and there is an artificial appearance to the soft tissue gradients and background noise, which lacks the typical variability seen in real lateral cervical spine films."
Radio006.png,AI,"This radiograph appears to be AI-generated. The anatomical structures—such as the ribs, vertebrae, and mediastinum—are overly symmetric and cleanly rendered, with a plasticky texture and subtle inconsistencies in soft tissue shadows that deviate from natural chest X-ray appearances."
Radio007.png,AI,"This radiograph appears to be AI-generated. The image has excessive and uniform noise, with blurred anatomical structures, particularly in the mediastinum and lung fields, and lacks the natural contrast gradients and resolution expected from authentic chest radiographs."
Radio008.png,AI,"This radiograph appears to be AI-generated. The vertebral bodies and pelvic bones exhibit near-perfect symmetry, unusually smooth cortical outlines, and a slightly plastic-like texture, with a lack of natural anatomical variation and soft tissue detail typically seen in authentic pelvic and lumbar spine radiographs."
Radio009.png,AI,"This radiograph appears to be AI-generated. The bones are overly smooth with uniform cortical thickness, and the absence of subtle anatomical irregularities, soft tissue detail, and realistic radiographic noise suggests synthetic generation rather than a true clinical image."
Radio10.png,AI,"This radiograph appears to be AI-generated. The trabecular patterns and bone edges are unnaturally uniform and overly smooth, and the overall image lacks the subtle anatomical variations, noise, and contrast dynamics typically found in authentic wrist radiographs."
